evals,best_f
1.000000000000000000e+04,5.689206963980572027e+02
2.000000000000000000e+04,4.049768033899157444e+02
3.000000000000000000e+04,3.913395436963432985e+02
4.000000000000000000e+04,3.518842656562916318e+02
5.000000000000000000e+04,3.339903772851259305e+02
6.000000000000000000e+04,3.339903772851259305e+02
7.000000000000000000e+04,3.339903772851259305e+02
8.000000000000000000e+04,3.027807290707154380e+02
9.000000000000000000e+04,3.027807290707154380e+02
1.000000000000000000e+05,3.027807290707154380e+02
1.100000000000000000e+05,3.027807290707154380e+02
1.200000000000000000e+05,3.027807290707154380e+02
1.300000000000000000e+05,3.027807290707154380e+02
1.400000000000000000e+05,2.906894900064036733e+02
1.500000000000000000e+05,2.413436032468638928e+02
1.600000000000000000e+05,2.034952401622558682e+02
1.700000000000000000e+05,1.724560455648807533e+02
1.800000000000000000e+05,1.468838760316251069e+02
1.900000000000000000e+05,1.345975622102906755e+02
2.000000000000000000e+05,1.232769334868963114e+02
2.100000000000000000e+05,1.170948724684626825e+02
2.200000000000000000e+05,1.131379539866777719e+02
2.300000000000000000e+05,1.118095915617087854e+02
2.400000000000000000e+05,1.092467180345903017e+02
2.500000000000000000e+05,1.088371803410582572e+02
2.600000000000000000e+05,1.080927395830192381e+02
2.700000000000000000e+05,1.075881375234942254e+02
2.800000000000000000e+05,1.072953413089623638e+02
2.900000000000000000e+05,1.070397283734066178e+02
3.000000000000000000e+05,1.069116558527160379e+02
3.100000000000000000e+05,1.068279442082382360e+02
3.200000000000000000e+05,1.067653095799222740e+02
3.300000000000000000e+05,1.067248933326571319e+02
3.400000000000000000e+05,1.066890941705574960e+02
3.500000000000000000e+05,1.066718361218970728e+02
3.600000000000000000e+05,1.066545385553807677e+02
3.700000000000000000e+05,1.066460954379185324e+02
3.800000000000000000e+05,1.066389452667662852e+02
3.900000000000000000e+05,1.066342043970220601e+02
4.000000000000000000e+05,1.066310714023678656e+02
4.000000000000000000e+05,1.066310714023678656e+02
