evals,best_f
1.000000000000000000e+06,3.575008378364888131e+02
2.000000000000000000e+06,3.161115466879682003e+02
3.000000000000000000e+06,3.021048176610744918e+02
4.000000000000000000e+06,3.021048176610744918e+02
5.000000000000000000e+06,2.950301710879470534e+02
6.000000000000000000e+06,2.950301710879470534e+02
7.000000000000000000e+06,2.230739270749278944e+02
8.000000000000000000e+06,1.457330137725587633e+02
9.000000000000000000e+06,1.205804253574307410e+02
1.000000000000000000e+07,1.089648225026763413e+02
1.000000000000000000e+07,1.089648225026763413e+02
