evals,best_f
1.000000000000000000e+05,3.078020269067266327e+03
2.000000000000000000e+05,2.995934882814076445e+03
3.000000000000000000e+05,2.986138991464478750e+03
4.000000000000000000e+05,2.986138991464478750e+03
5.000000000000000000e+05,2.986138991464478750e+03
6.000000000000000000e+05,2.985843310185208338e+03
7.000000000000000000e+05,2.985737939585933873e+03
8.000000000000000000e+05,2.985697263194223524e+03
9.000000000000000000e+05,2.985667014105364160e+03
1.000000000000000000e+06,2.985649005105286960e+03
1.100000000000000000e+06,2.985646286741099175e+03
1.200000000000000000e+06,2.985642515848011044e+03
1.300000000000000000e+06,2.985642157160466013e+03
1.400000000000000000e+06,2.985641912720186156e+03
1.500000000000000000e+06,2.985641727130411709e+03
1.600000000000000000e+06,2.985641671319420311e+03
1.700000000000000000e+06,2.985641623586996502e+03
1.800000000000000000e+06,2.985641608053540040e+03
1.900000000000000000e+06,2.985641603543468591e+03
2.000000000000000000e+06,2.985641603543468591e+03
2.000000000000000000e+06,2.985641603543468591e+03
