evals,best_f
1.000000000000000000e+04,3.055804052243255228e+03
2.000000000000000000e+04,2.998437344381702133e+03
3.000000000000000000e+04,2.985655686159983816e+03
4.000000000000000000e+04,2.976510220348211988e+03
5.000000000000000000e+04,2.976106177344584012e+03
6.000000000000000000e+04,2.975895906658625790e+03
7.000000000000000000e+04,2.975771127236832399e+03
8.000000000000000000e+04,2.975741126926210200e+03
9.000000000000000000e+04,2.975728479345859341e+03
1.000000000000000000e+05,2.975719580294411116e+03
1.100000000000000000e+05,2.975718703753975660e+03
1.200000000000000000e+05,2.975718330810511361e+03
1.300000000000000000e+05,2.975717824352744174e+03
1.400000000000000000e+05,2.975717824352744174e+03
1.500000000000000000e+05,2.975717712746397410e+03
1.600000000000000000e+05,2.975717712746397410e+03
1.700000000000000000e+05,2.975717707194091872e+03
1.800000000000000000e+05,2.975717707194091872e+03
1.900000000000000000e+05,2.975717705975200261e+03
2.000000000000000000e+05,2.975717705667103019e+03
2.000000000000000000e+05,2.975717705667103019e+03
